Connector,Pin,FPGA Pin,Pin Attributes,Net Name,Length (mm),Power In,Power Out,I/O Power,Ground,FPGA I/O,I/O Bank,JTAG,FPGA Clock In,Differential (+),Differential (-),BRK7010,Design Net,XDC IOStandard,Comment
MC1,77,V4,IO_L12P_T1_MRCC_34,B34_L12P_MRCC,26.128,"","","","",TRUE,34,"",true,TRUE,"",J2-37,"",LVCMOS33,""
MC1,78,"","",DGND,"","","","",true,"","","","","","",J2-38,"","",""
MC1,79,W4,IO_L12N_T1_MRCC_34,B34_L12N_MRCC,26.447,"","","","",TRUE,34,"",true,"",TRUE,J2-39,"",LVCMOS33,""
MC1,80,"","",DGND,"","","","",true,"","","","","","",J2-40,"","",""
MC2,1,"","",DGND,"","","","",true,"","","","","","",J3-1,"","",""
MC2,2,"",VCCO_13,+3.3VDD,"","",+3.3VDD,"","","","","","","","",J3-2,"","",""
MC2,3,"",VCCBATT_0,+VCCBATT,"","","","","","","","","","","",J3-3,"","",""
MC2,4,"",VCCO_13,+3.3VDD,"","",+3.3VDD,"","","","","","","","",J3-4,"","",""
MC2,5,V12,TCK_0,FPGA_TCK,"","","","","","","",true,"","","",J6-6,"","",""
MC2,6,"",VCCO_13,+3.3VDD,"","",+3.3VDD,"","","","","","","","",J3-6,"","",""
MC2,7,T13,TMS_0,FPGA_TMS,"","","","","","","",true,"","","",J6-4,"","",""
MC2,8,U13,TDO_0,FPGA_TDO,"","","","","","","",true,"","","",J6-8,"","",""
MC2,9,R13,TDI_0,FPGA_TDI,"","","","","","","",true,"","","",J6-10,"","",""
MC2,10,F4,IO_0_35,B35_IO0,38.931,"","","","",TRUE,35,"","","","",J3-10,"",LVCMOS33,""
MC2,11,AB12,IO_L7N_T1_13,SYS_CLK_MC2,46.306,"","","","",TRUE,13,"","","","",J3-11,"",LVCMOS33,""
MC2,12,L6,IO_25_35,B35_IO25,38.527,"","","","",TRUE,35,"","","","",J3-12,"",LVCMOS33,""
MC2,13,"","",DGND,"","","","",true,"","","","","","",J3-13,"","",""
MC2,14,"","",DGND,"","","","",true,"","","","","","",J3-14,"","",""
MC2,15,P5,IO_L21P_T3_DQS_35,B35_L21P,33.833,"","","","",TRUE,35,"","",TRUE,"",J3-15,"",LVCMOS33,""
MC2,16,P6,IO_L24P_T3_35,B35_L24P,38.057,"","","","",TRUE,35,"","",TRUE,"",J3-16,"",LVCMOS33,""
MC2,17,P4,IO_L21N_T3_DQS_35,B35_L21N,34.240,"","","","",TRUE,35,"","","",TRUE,J3-17,"",LVCMOS33,""
MC2,18,N5,IO_L24N_T3_35,B35_L24N,38.330,"","","","",TRUE,35,"","","",TRUE,J3-18,"",LVCMOS33,""
MC2,19,N4,IO_L19P_T3_35,B35_L19P,31.940,"","","","",TRUE,35,"","",TRUE,"",J3-19,"",LVCMOS33,""
MC2,20,P2,IO_L22P_T3_35,B35_L22P,40.085,"","","","",TRUE,35,"","",TRUE,"",J3-20,"",LVCMOS33,""
MC2,21,N3,IO_L19N_T3_VREF_35,B35_L19N,32.209,"","","","",TRUE,35,"","","",TRUE,J3-21,"",LVCMOS33,""
MC2,22,N2,IO_L22N_T3_35,B35_L22N,39.457,"","","","",TRUE,35,"","","",TRUE,J3-22,"",LVCMOS33,""
MC2,23,L5,IO_L18P_T2_35,B35_L18P,28.038,"","","","",TRUE,35,"","",TRUE,"",J3-23,"",LVCMOS33,""
MC2,24,R1,IO_L20P_T3_35,B35_L20P,41.140,"","","","",TRUE,35,"","",TRUE,"",J3-24,"",LVCMOS33,""
MC2,25,L4,IO_L18N_T2_35,B35_L18N,28.650,"","","","",TRUE,35,"","","",TRUE,J3-25,"",LVCMOS33,""
MC2,26,P1,IO_L20N_T3_35,B35_L20N,39.947,"","","","",TRUE,35,"","","",TRUE,J3-26,"",LVCMOS33,""
MC2,27,M6,IO_L23P_T3_35,B35_L23P,27.602,"","","","",TRUE,35,"","",TRUE,"",J3-27,"",LVCMOS33,""
MC2,28,M3,IO_L16P_T2_35,B35_L16P,35.547,"","","","",TRUE,35,"","",TRUE,"",J3-28,"",LVCMOS33,""
MC2,29,M5,IO_L23N_T3_35,B35_L23N,28.186,"","","","",TRUE,35,"","","",TRUE,J3-29,"",LVCMOS33,""
MC2,30,M2,IO_L16N_T2_35,B35_L16N,36.242,"","","","",TRUE,35,"","","",TRUE,J3-30,"",LVCMOS33,""
MC2,31,M1,IO_L15P_T2_DQS_35,B35_L15P,31.483,"","","","",TRUE,35,"","",TRUE,"",J3-31,"",LVCMOS33,""
MC2,32,K6,IO_L17P_T2_35,B35_L17P,28.973,"","","","",TRUE,35,"","",TRUE,"",J3-32,"",LVCMOS33,""
MC2,33,L1,IO_L15N_T2_DQS_35,B35_L15N,30.114,"","","","",TRUE,35,"","","",TRUE,J3-33,"",LVCMOS33,""
MC2,34,J6,IO_L17N_T2_35,B35_L17N,26.876,"","","","",TRUE,35,"","","",TRUE,J3-34,"",LVCMOS33,""
MC2,35,"",VCCO_35,VCCO_MC2,"","","",VCCO_MC2,"","","","","","","",J3-35,"","",""
MC2,36,"","",DGND,"","","","",true,"","","","","","",J3-36,"","",""
MC2,37,K2,IO_L9P_T1_DQS_AD7P_35,B35_L9P,26.233,"","","","",TRUE,35,"","",TRUE,"",J3-37,"",LVCMOS33,""
MC2,38,L3,IO_L14P_T2_SRCC_35,B35_L14P,31.306,"","","","",TRUE,35,"",true,TRUE,"",J3-38,"",LVCMOS33,""
MC2,39,J2,IO_L9N_T1_DQS_AD7N_35,B35_L9N,25.579,"","","","",TRUE,35,"","","",TRUE,J3-39,"",LVCMOS33,""
MC2,40,K3,IO_L14N_T2_SRCC_35,B35_L14N,30.796,"","","","",TRUE,35,"",true,"",TRUE,J3-40,"",LVCMOS33,""
MC2,41,K1,IO_L7P_T1_AD6P_35,B35_L7P,24.103,"","","","",TRUE,35,"","",TRUE,"",J4-1,"",LVCMOS33,""
MC2,42,J5,IO_L10P_T1_AD15P_35,B35_L10P,25.935,"","","","",TRUE,35,"","",TRUE,"",J4-2,"",LVCMOS33,""
MC2,43,J1,IO_L7N_T1_AD6N_35,B35_L7N,23.547,"","","","",TRUE,35,"","","",TRUE,J4-3,"",LVCMOS33,""
MC2,44,H5,IO_L10N_T1_AD15N_35,B35_L10N,25.634,"","","","",TRUE,35,"","","",TRUE,J4-4,"",LVCMOS33,""
MC2,45,H3,IO_L11P_T1_SRCC_35,B35_L11P,20.106,"","","","",TRUE,35,"",true,TRUE,"",J4-5,"",LVCMOS33,""
MC2,46,H2,IO_L8P_T1_AD14P_35,B35_L8P,26.105,"","","","",TRUE,35,"","",TRUE,"",J4-6,"",LVCMOS33,""
MC2,47,G3,IO_L11N_T1_SRCC_35,B35_L11N,19.518,"","","","",TRUE,35,"",true,"",TRUE,J4-7,"",LVCMOS33,""
MC2,48,G2,IO_L8N_T1_AD14N_35,B35_L8N,24.796,"","","","",TRUE,35,"","","",TRUE,J4-8,"",LVCMOS33,""
MC2,49,E2,IO_L4P_T0_35,B35_L4P,16.329,"","","","",TRUE,35,"","",TRUE,"",J4-9,"",LVCMOS33,""
MC2,50,G1,IO_L5P_T0_AD13P_35,B35_L5P,24.944,"","","","",TRUE,35,"","",TRUE,"",J4-10,"",LVCMOS33,""
